time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-14T21:42:41.270Z,38.815834,-122.8225021,3.12,0.56,md,11,83,0.008694,0.02,nc,nc73181670,2019-05-14T21:44:18.768Z,"7km NW of The Geysers, CA",earthquake,0.42,1,,1,automatic,nc,nc
2019-05-14T21:35:19.380Z,33.787,-117.7278333,12.47,1.7,ml,39,71,0.05711,0.27,ci,ci38594176,2019-05-14T21:46:42.240Z,"7km ENE of North Tustin, CA",earthquake,0.43,0.83,0.121,30,automatic,ci,ci
2019-05-14T21:31:53.497Z,61.1849,-146.2913,32.1,0.9,ml,,,,0.89,ak,ak01965ypd79,2019-05-14T21:34:47.887Z,"6km NNE of Valdez, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-05-14T21:28:41.730Z,37.2855,-114.9338,17.2,1,ml,9,239.35,0.093,0.13,nn,nn00684809,2019-05-14T21:32:31.090Z,"22km ESE of Alamo, Nevada",earthquake,,1.6,,,automatic,nn,nn
2019-05-14T21:25:01.490Z,38.824501,-122.856163,1.68,1.23,md,17,85,0.02142,0.03,nc,nc73181665,2019-05-14T21:39:04.163Z,"10km WNW of The Geysers, CA",earthquake,0.21,0.61,0.06,4,automatic,nc,nc
2019-05-14T21:23:49.670Z,36.116,-117.6646667,-0.18,1.7,ml,16,92,0.07641,0.19,ci,ci38594144,2019-05-14T21:27:19.717Z,"27km ENE of Coso Junction, CA",earthquake,0.4,31.61,0.163,25,automatic,ci,ci
2019-05-14T21:23:34.120Z,37.1868,-115.0568,11.8,1.6,ml,8,308.79,0.43,0.23,nn,nn00684807,2019-05-14T21:26:51.624Z,"21km SSE of Alamo, Nevada",earthquake,,5.6,,,automatic,nn,nn
2019-05-14T21:13:39.240Z,44.5506667,-114.2601667,10.81,1.64,ml,10,107,0.231,0.28,mb,mb80343839,2019-05-14T21:33:36.360Z,"5km NNW of Challis, Idaho",earthquake,1.88,2.58,0.304,7,reviewed,mb,mb
2019-05-14T21:05:45.188Z,44.5697,-114.2772,5,2.8,ml,,69,0.674,0.79,us,us70003l8d,2019-05-14T21:48:07.040Z,"8km NNW of Challis, Idaho",earthquake,1.1,1.9,0.115,10,reviewed,us,us
2019-05-14T20:58:51.170Z,37.238,-115.0332,0.8,1.4,ml,12,91.88,0.151,0.26,nn,nn00684801,2019-05-14T21:06:12.218Z,"18km SE of Alamo, Nevada",earthquake,,17.7,,,automatic,nn,nn
2019-05-14T20:55:39.370Z,33.5046667,-116.787,5.1,0.57,ml,22,36,0.07343,0.19,ci,ci38594088,2019-05-14T20:59:22.754Z,"10km NE of Aguanga, CA",earthquake,0.28,1.56,0.127,15,automatic,ci,ci
2019-05-14T20:55:26.865Z,43.7598,148.0337,42.03,5.7,mb,,95,3.946,1.09,us,us70003l7d,2019-05-14T21:12:58.400Z,"105km E of Shikotan, Russia",earthquake,6.9,3.7,0.026,529,reviewed,us,us
2019-05-14T20:52:57.130Z,32.7426667,-115.5648333,16.01,1.75,ml,18,96,0.09509,0.3,ci,ci38594072,2019-05-14T20:56:35.353Z,"4km WNW of Heber, CA",earthquake,0.83,0.86,0.236,28,automatic,ci,ci
2019-05-14T20:35:19.132Z,61.6223,-149.6878,29,1.2,ml,,,,0.75,ak,ak01965y4ptc,2019-05-14T20:39:54.959Z,"4km W of Meadow Lakes, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-05-14T20:22:05.950Z,39.0353,-118.4307,0.3,1.2,ml,7,131.33,0.359,0.11,nn,nn00684799,2019-05-14T20:25:30.042Z,"47km WNW of Gabbs, Nevada",earthquake,,8.8,,,automatic,nn,nn
2019-05-14T20:13:31.675Z,37.2919,-115.0156,14.9,1.3,ml,6,156,0.118,0.183,nn,nn00684796,2019-05-14T21:10:30.333Z,"15km ESE of Alamo, Nevada",earthquake,,15.8,0.38,4,reviewed,nn,nn
2019-05-14T20:01:08.978Z,-35.6921,-103.5503,10,5,mb,,151,24.086,0.78,us,us70003l67,2019-05-14T20:26:40.040Z,"Southeast of Easter Island",earthquake,14.5,1.9,0.04,196,reviewed,us,us
2019-05-14T20:00:24.522Z,63.0761,-150.4783,99.4,1.6,ml,,,,0.65,ak,ak01965xx88x,2019-05-14T20:05:17.014Z,"84km WSW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-05-14T19:52:50.540Z,33.1391667,-116.641,2.66,0.93,ml,36,33,0.06005,0.19,ci,ci38593984,2019-05-14T19:56:32.979Z,"8km NNW of Julian, CA",earthquake,0.24,0.38,0.181,23,automatic,ci,ci
2019-05-14T19:47:32.976Z,37.2251,-114.9674,0,2.3,ml,10,93.63,0.193,0.1658,nn,nn00684792,2019-05-14T20:24:25.999Z,"23km SE of Alamo, Nevada",earthquake,,82,0.13,7,reviewed,nn,nn
2019-05-14T19:43:28.140Z,37.2397,-114.981,7.8,1.8,ml,19,90.85,0.162,0.27,nn,nn00684788,2019-05-14T19:47:33.816Z,"21km SE of Alamo, Nevada",earthquake,,3.5,,,automatic,nn,nn
2019-05-14T19:31:17.610Z,33.2515,-116.3096667,9.86,1.54,ml,55,65,0.07495,0.19,ci,ci38593936,2019-05-14T19:41:40.510Z,"6km E of Borrego Springs, CA",earthquake,0.25,0.49,0.159,27,automatic,ci,ci
2019-05-14T19:26:59.530Z,38.2965,-118.5493,0.4,0.9,ml,6,151.34,0.046,0.31,nn,nn00684787,2019-05-14T19:44:29.731Z,"26km SSE of Hawthorne, Nevada",earthquake,,18,,,automatic,nn,nn
2019-05-14T19:26:01.020Z,33.848,-117.4963333,1.82,1.51,ml,26,72,0.08903,0.24,ci,ci38593920,2019-05-14T19:29:50.077Z,"4km SE of Home Gardens, CA",quarry blast,0.37,0.67,0.262,35,automatic,ci,ci
2019-05-14T19:19:59.938Z,37.2173,-114.9957,2.4,2.4,ml,20,77.66,0.194,0.1861,nn,nn00684785,2019-05-14T20:11:59.806Z,"22km SE of Alamo, Nevada",earthquake,,7.6,0.42,12,reviewed,nn,nn
2019-05-14T19:09:43.330Z,36.1195,-117.6703333,2.64,0.76,ml,12,91,0.07286,0.2,ci,ci38593872,2019-05-14T19:13:24.678Z,"26km ENE of Coso Junction, CA",earthquake,0.43,0.9,0.12,7,automatic,ci,ci
2019-05-14T19:02:02.690Z,46.0223333,-112.4621667,-2,1.95,ml,12,93,0.067,0.08,mb,mb80343794,2019-05-14T19:33:36.260Z,"5km ENE of Butte, Montana",quarry blast,0.33,31.61,0.062,11,reviewed,mb,mb
2019-05-14T19:01:57.770Z,37.4815,-118.8338333,2.37,1.23,md,23,125,0.1084,0.05,nc,nc73181605,2019-05-14T21:40:03.170Z,"16km WSW of Toms Place, CA",earthquake,0.28,1.47,0.187,19,reviewed,nc,nc
2019-05-14T18:55:09.637Z,61.4089,-140.3175,3.7,3.2,ml,,,,0.54,ak,ak01965x2460,2019-05-14T19:40:20.653Z,"168km WNW of Haines Junction, Canada",earthquake,,0.2,,,reviewed,ak,ak
2019-05-14T18:47:43.889Z,60.0428,-151.5155,40.3,1.3,ml,,,,0.56,ak,ak01965x0h2t,2019-05-14T18:54:18.955Z,"34km NNE of Anchor Point, Alaska",earthquake,,2.3,,,automatic,ak,ak
2019-05-14T18:47:16.080Z,37.2533,-115.0527,7.5,1.1,ml,13,89.17,0.131,0.15,nn,nn00684782,2019-05-14T18:55:32.628Z,"15km SE of Alamo, Nevada",earthquake,,1.9,,,automatic,nn,nn
2019-05-14T18:41:51.780Z,37.2712,-115.0168,15,1.9,ml,24,87.67,0.113,0.22,nn,nn00684779,2019-05-14T18:45:36.191Z,"16km SE of Alamo, Nevada",earthquake,,1,,,automatic,nn,nn
2019-05-14T18:40:37.160Z,44.7775,-111.0465,7.96,0.17,md,8,137,0.034,0.14,uu,uu60324767,2019-05-14T20:48:35.960Z,"13km NNE of West Yellowstone, Montana",earthquake,0.65,0.96,0.222,5,reviewed,uu,uu
2019-05-14T18:40:29.440Z,37.2123,-114.9223,0.4,1.6,ml,15,170.25,0.21,0.34,nn,nn00684778,2019-05-14T18:44:32.758Z,"27km SE of Alamo, Nevada",earthquake,,19.6,,,automatic,nn,nn
2019-05-14T18:38:34.560Z,38.6638336,-119.5688324,1.41,2.2,md,10,108,0.1894,0.08,nc,nc73181595,2019-05-14T21:14:03.527Z,"20km E of Markleeville, CA",earthquake,0.52,3.22,,2,automatic,nc,nc
2019-05-14T18:35:03.020Z,37.2408,-115.0363,0.8,1.2,ml,8,156.32,0.156,0.35,nn,nn00684775,2019-05-14T18:40:11.077Z,"17km SE of Alamo, Nevada",earthquake,,25.9,,,automatic,nn,nn
2019-05-14T18:28:56.000Z,33.7138333,-117.3368333,-0.69,0.83,ml,14,95,0.05459,0.15,ci,ci38593824,2019-05-14T21:45:04.573Z,"5km N of Lake Elsinore, CA",quarry blast,0.43,31.61,0.09,10,reviewed,ci,ci
